source_id,source_sha256_12,operator,dimension,targets,assessed_ok,supported_ge_2_3,weak_below_floor,unassessed,failed_or_invalid,stale,excluded_by_discovery,excluded_ids,supported_and_discovery_eligible,supported_eligible_conf_ge_0.5,weak_and_discovery_eligible,best_eligible_target,best_norm,best_confidence,published_bonds
F12,cb4d77c11adb,DEVELOP,development,40,40,19,21,0,0,0,1,F11,18,7,21,PR3,0.937,0.810,0
F12,cb4d77c11adb,CONTRADICT,contradiction,40,40,0,40,0,0,0,1,F11,0,0,39,,,,0
F12,cb4d77c11adb,BRIDGE,bridge_relation,40,40,23,17,0,0,0,1,F11,23,1,16,LF11,0.833,0.500,0
LF1,494010550cfd,ECHO,echo,40,40,7,33,0,0,0,1,LF2,6,5,33,LF9,0.980,0.940,0
LF1,494010550cfd,DEVELOP,development,40,40,7,33,0,0,0,1,LF2,6,4,33,LF13,0.863,0.590,0
LF1,494010550cfd,CONTRADICT,contradiction,40,40,0,40,0,0,0,1,LF2,0,0,39,,,,0
LF1,494010550cfd,BRIDGE,bridge_relation,40,40,3,37,0,0,0,1,LF2,3,0,36,LF14,0.813,0.440,0
LF2,1e9b6908d1bb,ECHO,echo,40,40,6,34,0,0,0,2,LF1|LF3,4,0,34,LF10,0.757,0.270,0
LF2,1e9b6908d1bb,DEVELOP,development,40,40,6,34,0,0,0,2,LF1|LF3,6,1,32,LF13,0.883,0.650,0
LF2,1e9b6908d1bb,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF1|LF3,0,0,38,,,,0
LF2,1e9b6908d1bb,BRIDGE,bridge_relation,40,40,4,36,0,0,0,2,LF1|LF3,4,0,34,LF15,0.753,0.260,0
LF3,6c8dee41659b,ECHO,echo,40,40,9,31,0,0,0,2,LF2|LF4,7,6,31,LF7,0.953,0.860,0
LF3,6c8dee41659b,DEVELOP,development,40,40,15,25,0,0,0,2,LF2|LF4,13,10,25,LF6,0.960,0.880,0
LF3,6c8dee41659b,CONTRADICT,contradiction,40,40,7,33,0,0,0,2,LF2|LF4,7,4,31,LF10,0.953,0.860,0
LF3,6c8dee41659b,BRIDGE,bridge_relation,40,40,10,30,0,0,0,2,LF2|LF4,10,1,28,LF14,0.857,0.570,0
LF4,0811064ce766,ECHO,echo,40,40,2,38,0,0,0,2,LF3|LF5,1,0,37,LF10,0.720,0.160,0
LF4,0811064ce766,DEVELOP,development,40,40,7,33,0,0,0,2,LF3|LF5,5,1,33,LF6,0.850,0.550,0
LF4,0811064ce766,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF3|LF5,0,0,38,,,,0
LF4,0811064ce766,BRIDGE,bridge_relation,40,40,6,34,0,0,0,2,LF3|LF5,6,0,32,LF14,0.813,0.440,0
LF5,934fffc832df,ECHO,echo,40,40,6,34,0,0,0,2,LF4|LF6,5,2,33,LF3,0.913,0.740,0
LF5,934fffc832df,DEVELOP,development,40,40,10,30,0,0,0,2,LF4|LF6,8,4,30,LF3,0.923,0.770,0
LF5,934fffc832df,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF4|LF6,0,0,38,,,,0
LF5,934fffc832df,BRIDGE,bridge_relation,40,40,15,25,0,0,0,2,LF4|LF6,14,0,24,LF14,0.783,0.350,0
LF6,7eb9b361c6ed,ECHO,echo,40,40,18,22,0,0,0,2,LF5|LF7,16,12,22,LF1,0.990,0.970,0
LF6,7eb9b361c6ed,DEVELOP,development,40,40,20,20,0,0,0,2,LF5|LF7,18,10,20,P3,0.977,0.930,0
LF6,7eb9b361c6ed,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF5|LF7,0,0,38,,,,0
LF6,7eb9b361c6ed,BRIDGE,bridge_relation,40,40,24,16,0,0,0,2,LF5|LF7,24,2,14,P2,0.840,0.520,0
LF7,63eff9b43a8b,ECHO,echo,40,40,14,26,0,0,0,2,LF6|LF8,12,7,26,LF11,0.887,0.660,0
LF7,63eff9b43a8b,DEVELOP,development,40,40,21,19,0,0,0,2,LF6|LF8,19,12,19,LF11,0.980,0.940,0
LF7,63eff9b43a8b,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF6|LF8,0,0,38,,,,0
LF7,63eff9b43a8b,BRIDGE,bridge_relation,40,40,24,16,0,0,0,2,LF6|LF8,24,2,14,LF14,0.843,0.530,0
LF8,84e4c794adcf,ECHO,echo,40,40,13,27,0,0,0,2,LF7|LF9,11,4,27,P8,0.783,0.570,0
LF8,84e4c794adcf,DEVELOP,development,40,40,12,28,0,0,0,2,LF7|LF9,10,3,28,LF11,0.953,0.860,0
LF8,84e4c794adcf,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF7|LF9,0,0,38,,,,0
LF8,84e4c794adcf,BRIDGE,bridge_relation,40,40,24,16,0,0,0,2,LF7|LF9,24,1,14,P3,0.840,0.520,0
LF9,0f039d820dc8,ECHO,echo,40,40,19,21,0,0,0,2,LF8|LF10,17,10,21,LF1,0.987,0.960,0
LF9,0f039d820dc8,DEVELOP,development,40,40,24,16,0,0,0,2,LF8|LF10,22,10,16,LF11,0.977,0.930,0
LF9,0f039d820dc8,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF8|LF10,0,0,38,,,,0
LF9,0f039d820dc8,BRIDGE,bridge_relation,40,40,25,15,0,0,0,2,LF8|LF10,25,2,13,LF14,0.837,0.510,0
LF10,caba8ef0d750,ECHO,echo,40,40,19,21,0,0,0,2,LF9|LF11,17,4,21,LF16,0.893,0.680,0
LF10,caba8ef0d750,DEVELOP,development,40,40,23,17,0,0,0,2,LF9|LF11,21,11,17,P3,0.960,0.880,0
LF10,caba8ef0d750,CONTRADICT,contradiction,40,40,1,39,0,0,0,2,LF9|LF11,1,1,37,LF3,0.833,0.500,0
LF10,caba8ef0d750,BRIDGE,bridge_relation,40,40,26,14,0,0,0,2,LF9|LF11,26,0,12,PR3,0.820,0.460,0
LF11,8f3786aa9e7e,ECHO,echo,40,40,19,21,0,0,0,2,LF10|LF12,17,11,21,LF14,0.960,0.880,0
LF11,8f3786aa9e7e,DEVELOP,development,40,40,27,13,0,0,0,2,LF10|LF12,25,13,13,LF16,0.973,0.920,0
LF11,8f3786aa9e7e,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF10|LF12,0,0,38,,,,0
LF11,8f3786aa9e7e,BRIDGE,bridge_relation,40,40,24,16,0,0,0,2,LF10|LF12,24,7,14,P8,0.853,0.560,0
LF12,e910ea182147,ECHO,echo,40,40,5,35,0,0,0,2,LF11|LF13,4,1,34,LF16,0.917,0.750,0
LF12,e910ea182147,DEVELOP,development,40,40,21,19,0,0,0,2,LF11|LF13,19,5,19,LF16,0.973,0.920,0
LF12,e910ea182147,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF11|LF13,0,0,38,,,,0
LF12,e910ea182147,BRIDGE,bridge_relation,40,40,25,15,0,0,0,2,LF11|LF13,25,1,13,LF14,0.847,0.540,0
LF13,4cacb46235a9,ECHO,echo,40,40,10,30,0,0,0,2,LF12|LF14,9,5,29,LF7,0.867,0.600,0
LF13,4cacb46235a9,DEVELOP,development,40,40,13,27,0,0,0,2,LF12|LF14,11,8,27,LF11,0.963,0.890,0
LF13,4cacb46235a9,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF12|LF14,0,0,38,,,,0
